epoch,time,train/box,train/seg,train/cls,train/dfl,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box,val/seg,val/cls,val/dfl,lr/pg0,lr/pg1,lr/pg2
71,10847.8,1.09265,2.11349,1.60285,1.20058,0.41207,0.18631,0.15164,0.11633,0.41618,0.18302,0.14873,0.10459,1.03349,2.04211,3.49017,1.14055,8.614e-05,8.614e-05,8.614e-05
72,14449.3,1.08806,2.10523,1.59553,1.19708,0.41714,0.18664,0.1524,0.11679,0.41578,0.1841,0.14907,0.10502,1.03174,2.03936,3.48029,1.13908,8.5942e-05,8.5942e-05,8.5942e-05
73,3599.34,1.0923,2.11481,1.60671,1.20214,0.41856,0.18452,0.15247,0.11701,0.41724,0.18209,0.14931,0.10517,1.03095,2.03783,3.47725,1.13863,8.5744e-05,8.5744e-05,8.5744e-05
74,7189.5,1.08992,2.1075,1.60393,1.19953,0.41934,0.18484,0.15257,0.1172,0.41689,0.18337,0.14955,0.10544,1.02963,2.03542,3.48098,1.13772,8.5546e-05,8.5546e-05,8.5546e-05
75,10787.3,1.08925,2.10952,1.59875,1.19877,0.42876,0.18375,0.15342,0.11811,0.427,0.18205,0.1503,0.10606,1.02774,2.03182,3.47838,1.13634,8.5348e-05,8.5348e-05,8.5348e-05
76,14384.9,1.08141,2.09509,1.58447,1.19412,0.42147,0.18484,0.15426,0.11848,0.41662,0.18175,0.15076,0.10652,1.02581,2.02898,3.48057,1.13517,8.515e-05,8.515e-05,8.515e-05
77,17978.9,1.07957,2.08732,1.57812,1.1928,0.42082,0.18699,0.15484,0.11908,0.41892,0.18307,0.15134,0.10683,1.02436,2.02463,3.46165,1.13419,8.4952e-05,8.4952e-05,8.4952e-05
78,21574.4,1.07637,2.08319,1.56876,1.19058,0.4223,0.18517,0.15532,0.11955,0.4227,0.18224,0.15229,0.10701,1.02231,2.02083,3.44752,1.13278,8.4754e-05,8.4754e-05,8.4754e-05
79,25320.6,1.07307,2.07318,1.55959,1.18765,0.42457,0.18442,0.15743,0.12091,0.42126,0.18261,0.15426,0.10863,1.02056,2.01561,3.43725,1.13126,8.4556e-05,8.4556e-05,8.4556e-05
80,29047.8,1.06865,2.06636,1.55326,1.18418,0.42067,0.18855,0.15824,0.12154,0.41271,0.18594,0.15458,0.10915,1.01825,2.01108,3.43115,1.12997,8.4358e-05,8.4358e-05,8.4358e-05
